name,vertices,edges,orbits,runtime_ms
Cycle_3,3,3,4,0.1
Cycle_4,4,4,6,0.141849
Cycle_5,5,5,8,0.1
Cycle_6,6,6,13,0.268124
Cycle_7,7,7,18,0.316664
Cycle_8,8,8,30,0.833914
Cycle_9,9,9,46,2.092818
Cycle_10,10,10,78,1.611466
Cycle_11,11,11,126,3.78509
Cycle_12,12,12,224,6.101961
Cycle_13,13,13,380,7.239548
Cycle_14,14,14,687,18.426151
Cycle_15,15,15,1224,29.91063
Cycle_16,16,16,2250,61.906744
Cycle_17,17,17,4112,106.292281
Cycle_18,18,18,7685,271.653903
Cycle_19,19,19,14310,483.764376
Cycle_20,20,20,27012,1411.692611
