name,vertices,edges,orbits,runtime_ms
Path_2,2,1,3,0.1
Path_3,3,2,6,0.1
Path_4,4,3,10,0.205126
Path_5,5,4,20,0.466825
Path_6,6,5,36,0.491548
Path_7,7,6,72,0.93323
Path_8,8,7,136,2.840407
Path_9,9,8,272,4.164473
Path_10,10,9,528,9.914989
Path_11,11,10,1056,15.46387
Path_12,12,11,2080,46.614546
Path_13,13,12,4160,81.318158
Path_14,14,13,8256,217.755877
Path_15,15,14,16512,470.195392
Path_16,16,15,32896,1563.17026
Path_17,17,16,65792,4062.635344
Path_18,18,17,131328,25032.077321
Path_19,19,18,262656,90842.455635
Path_20,20,19,524800,518059.365503
