name,vertices,edges,orbits,runtime_ms
Cycle_3,3,3,4,0.06663
Cycle_4,4,4,6,0.112306
Cycle_5,5,5,8,0.116147
Cycle_6,6,6,13,0.23006
Cycle_7,7,7,18,0.263444
Cycle_8,8,8,30,0.591563
Cycle_9,9,9,46,0.751989
Cycle_10,10,10,78,1.532614
Cycle_11,11,11,126,1.831469
Cycle_12,12,12,224,3.994408
Cycle_13,13,13,380,5.874208
Cycle_14,14,14,687,14.003408
Cycle_15,15,15,1224,21.790032
Cycle_16,16,16,2250,55.037167
Cycle_17,17,17,4112,94.793935
Cycle_18,18,18,7685,231.98886
Cycle_19,19,19,14310,424.61088
Cycle_20,20,20,27012,1171.903707
Cycle_21,21,21,50964,2553.725895
Cycle_22,22,22,96909,8541.59944
Cycle_23,23,23,184410,34221.25788
