name,vertices,edges,orbits,runtime_ms
Star_5,5,4,10,0.1
Star_10,10,9,20,1.0
Star_15,15,14,30,10.0
Star_20,20,19,40,23.0
Star_25,25,24,50,58.0
Star_30,30,29,60,111.0
Star_35,35,34,70,237.0
Star_40,40,39,80,398.0
Star_45,45,44,90,603.0
Star_50,50,49,100,943.0
Star_55,55,54,110,1473.0
Star_60,60,59,120,1711.0
Star_65,65,64,130,2591.0
Star_70,70,69,140,3666.0
Star_75,75,74,150,5013.0
Star_80,80,79,160,6746.0
Star_85,85,84,170,8892.0
Star_90,90,89,180,12344.0
Star_95,95,94,190,14705.0
Star_100,100,99,200,17953.0
